"","MPA","TH","Density","se","Species"
"1","Mexacanthina",0,0.122036585008283,0.0676470951182843,"Native Whelks"
"2","Mexacanthina",0.25,0.617841573208648,0.178492411788511,"Native Whelks"
"3","Mexacanthina",0.5,0.298258550524804,0.0670479897389138,"Native Whelks"
"4","Mexacanthina",0.75,0.268344001896633,0.100899288888264,"Native Whelks"
"5","Mexacanthina",1,0.0548593706488443,0.0284606565996619,"Native Whelks"
"6","Mexacanthina",1.25,0.0381904116660214,0.0222069668108726,"Native Whelks"
"7","Mexacanthina",1.5,0,0,"Native Whelks"
"8","Mexacanthina",1.75,0.0208333333333333,0.0208333333333333,"Native Whelks"
"9","Mexacanthina",2,0,0,"Native Whelks"
"10","No Mexacanthina",0,0.252871148459384,0.0830350403724468,"Native Whelks"
"11","No Mexacanthina",0.25,0.59353127691406,0.170931986066723,"Native Whelks"
"12","No Mexacanthina",0.5,0.585246597006309,0.190499146620847,"Native Whelks"
"13","No Mexacanthina",0.75,0.720430113171461,0.192673548859559,"Native Whelks"
"14","No Mexacanthina",1,0.308669968884322,0.0821350500931063,"Native Whelks"
"15","No Mexacanthina",1.25,0.0367647058823529,0.0255738361632446,"Native Whelks"
"16","No Mexacanthina",1.5,0,0,"Native Whelks"
"17","No Mexacanthina",1.75,0,0,"Native Whelks"
"18","No Mexacanthina",2,0,0,"Native Whelks"
"19","Mexacanthina",0,0,0,"Mexacanthina"
"20","Mexacanthina",0.25,0.909576514295613,0.2001473772547,"Mexacanthina"
"21","Mexacanthina",0.5,1.13630619483194,0.210205909143852,"Mexacanthina"
"22","Mexacanthina",0.75,2.02761831380252,0.461032460584141,"Mexacanthina"
"23","Mexacanthina",1,4.48952258370541,0.745260369490046,"Mexacanthina"
"24","Mexacanthina",1.25,2.51160832965965,0.4127228316438,"Mexacanthina"
"25","Mexacanthina",1.5,2.01925884649941,0.554677660541161,"Mexacanthina"
"26","Mexacanthina",1.75,1.42624521072797,0.439862569422685,"Mexacanthina"
"27","Mexacanthina",2,0.555555555555556,0.427058952658782,"Mexacanthina"
"28","No Mexacanthina",0,0,0,"Mexacanthina"
"29","No Mexacanthina",0.25,0,0,"Mexacanthina"
"30","No Mexacanthina",0.5,0,0,"Mexacanthina"
"31","No Mexacanthina",0.75,0,0,"Mexacanthina"
"32","No Mexacanthina",1,0,0,"Mexacanthina"
"33","No Mexacanthina",1.25,0,0,"Mexacanthina"
"34","No Mexacanthina",1.5,0,0,"Mexacanthina"
"35","No Mexacanthina",1.75,0,0,"Mexacanthina"
"36","No Mexacanthina",2,0,0,"Mexacanthina"
